Log_ID,Product_ID,Product_Name,Category,Country_of_Origin,Regulatory_Document,SOP_ID,SOP_Rule,Expected_Finding,Actual_Finding,Deviation_Type,Severity,Reviewer_Name,Date_Logged,Status,Action_Taken
DEV017,PROD049,MTR Ready to Eat Masala Dosa,Food & Beverages,India,FSSAI,SOP009,Best before date must be in DD/MM/YYYY format,Best before: 10/08/2026,Expiry date printed as: 08-2026 — day omitted,Date Format Error,High,Joel,2025-12-28,Rejected,Rejected — day must be included in date format per FSSAI SOP009
DEV018,PROD138,Monster Energy Drink 500ml,Food & Beverages,USA,FDA,SOP011,Net quantity must be in metric units,500ml printed prominently on front,Can shows 16.9 fl oz — metric equivalent 500ml in much smaller font,Metric Unit Not Prominent,Medium,April,2026-01-02,Resolved,Importer updated label to show 500ml in same prominence as fl oz value
DEV019,PROD148,McVitie's Digestive 400g,Food & Beverages,UK,CE-Mark,SOP009,Best before date must be in DD/MM/YYYY format,Best before: 22/09/2026,Date printed as: 22 Sep 26 — abbreviated month and year format,Date Format Error,Medium,Autumn,2026-01-04,Resolved,Importer corrected date format to DD/MM/YYYY on India-specific packaging
DEV020,PROD157,Heinz Tomato Ketchup 910g,Food & Beverages,USA,FDA,SOP012,Ingredient list must be in descending order by weight,"Tomatoes, Distilled Vinegar, Corn Syrup, Salt...",Corn syrup listed before vinegar despite lower weight,Sequence Error,High,Atlas,2026-01-06,Escalated,Escalated to Process Expert — requires lab verification of ingredient weights
DEV021,PROD163,Ben & Jerry's Ice Cream 473ml,Food & Beverages,USA,FDA,SOP010,Allergen declaration must be highlighted in bold,"Contains: Milk, Eggs, Wheat, Soy in bold",Allergen text in bold but tree nuts not listed despite containing almonds,Incomplete Allergen List,High,Anu,2026-01-08,Rejected,Rejected — undeclared tree nut allergen is a critical food safety violation
DEV022,PROD055,Lakme 9to5 Lipstick,Cosmetics,India,CDSCO,SOP013,Batch number and manufacturing date must be present,Batch no. and Mfg date printed on base of product,Manufacturing date present but batch number missing from all surfaces,Missing Information,High,Joel,2026-01-10,Resolved,Seller added batch number to base label — re-inspection passed
DEV023,PROD058,Plum Niacinamide Serum 30ml,Cosmetics,India,CDSCO,SOP015,Shelf life after opening must be indicated,PAO symbol with 12M printed on label,No Period After Opening (PAO) symbol found on product or packaging,Missing Information,Medium,April,2026-01-12,Resolved,Seller added PAO 12M symbol to label — approved after re-check
DEV024,PROD060,WOW Apple Cider Vinegar Shampoo,Cosmetics,India,CDSCO,SOP014,List of ingredients must use INCI names,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine...",Ingredients listed using common names — e.g. Water instead of Aqua,Wrong Nomenclature,Medium,Autumn,2026-01-14,Pending Review,Seller updating ingredient list to INCI standard — review pending
DEV025,PROD066,Lotus Herbals Whiteglow Cream,Cosmetics,India,CDSCO,SOP013,Batch number and manufacturing date must be present,Batch and Mfg date on carton and tube,Batch number on carton but absent from tube itself,Inconsistent Labelling,High,Atlas,2026-01-16,Rejected,Rejected — batch number must appear on product unit not just outer carton
DEV026,PROD074,Nykaa Kajal Black Magic,Cosmetics,India,CDSCO,SOP015,Shelf life after opening must be indicated,PAO 24M symbol on label,Shelf life stated as 2 years but no PAO symbol — text only,Wrong Format,Low,Anu,2026-01-18,Resolved,Seller replaced text with standard PAO symbol as required by CDSCO
DEV027,PROD166,Maybelline SuperStay Lipstick,Cosmetics,USA,FDA,SOP016,Warning statements must be in English,Keep out of reach of children — in English on label,Warning present in English and French — French text larger than English,Prominence Issue,Low,Joel,2026-01-20,Resolved,Importer updated label — English warnings now in equal or larger font
DEV028,PROD169,Nivea Soft Moisturising Cream,Cosmetics,Germany,CE-Mark,SOP014,List of ingredients must use INCI names,"Aqua, Glycerin, Paraffinum Liquidum...",German INCI names used — Wasser instead of Aqua on India import batch,Wrong Language INCI,High,April,2026-01-22,Rejected,Rejected — India import batch must use English INCI names on label
DEV029,PROD172,The Body Shop Shea Butter,Cosmetics,UK,CE-Mark,SOP015,Shelf life after opening must be indicated,PAO 12M symbol on label,PAO symbol present but faded and illegible on received batch,Print Quality Issue,Medium,Autumn,2026-01-24,Resolved,Importer replaced batch with corrected print run — PAO symbol clearly visible
DEV030,PROD179,Neutrogena Deep Clean Facial,Cosmetics,USA,FDA,SOP016,Warning statements must be in English,For external use only. Avoid contact with eyes.,Warning section blank on India-specific SKU — text missing entirely,Missing Warning,High,Atlas,2026-01-26,Rejected,Rejected — warning statements are mandatory per FDA and CDSCO guidelines
DEV031,PROD187,Johnson's Baby Lotion 500ml,Cosmetics,USA,FDA,SOP016,Warning statements must be in English,For external use only. Keep away from eyes.,Warning text present but font size 4pt — not legible to naked eye,Font Size Non-Compliant,Medium,Anu,2026-01-28,Resolved,Importer updated to minimum 6pt font for warning text — approved
DEV032,PROD077,Luvlap Baby Rattle Set 5pcs,Toys,India,BIS,SOP018,Safety warning for choking hazard must be present,Warning: Choking hazard — small parts. Not for children under 3.,Choking hazard warning absent from packaging,Missing Safety Warning,High,Joel,2026-01-30,Rejected,"Critical safety deviation — product rejected, seller must add mandatory warning"
DEV033,PROD079,Chhota Bheem Action Figure,Toys,India,BIS,SOP017,Age recommendation must be printed on packaging,Suitable for ages 3+ printed on front,Age recommendation sticker peeling off — not permanently printed,Label Quality Issue,Medium,April,2026-02-01,Resolved,Seller switched to heat-printed age label — approved
DEV034,PROD081,Toyshine Musical Train Toy,Toys,India,BIS,SOP018,Safety warning for choking hazard must be present,Choking hazard warning in English and Hindi on front panel,Warning present in English only — Hindi translation missing,Language Compliance,Medium,Autumn,2026-02-02,Resolved,Seller added Hindi warning text — meets bilingual SOP requirement
DEV035,PROD191,LEGO Star Wars AT-AT 75313,Toys,Denmark,CE-Mark,SOP020,EN 71 safety standard reference must be on label,"EN 71-1, EN 71-2, EN 71-3 compliance stated on box",CE mark present but EN 71 standard reference absent from packaging,Missing Certification Reference,High,Atlas,2026-02-03,Resolved,LEGO India added EN 71 compliance statement to India import packaging
DEV036,PROD193,Hot Wheels Monster Truck,Toys,USA,CPSC,SOP019,ASTM F963 compliance statement required,Meets ASTM F963 toy safety standard,ASTM F963 statement absent — only CPSC tracking label present,Missing Compliance Statement,High,Anu,2026-02-04,Rejected,Rejected — ASTM F963 statement is mandatory for all toys per CPSC SOP
DEV037,PROD196,Fisher Price Baby Gym Mat,Toys,USA,CPSC,SOP018,Safety warning for choking hazard must be present,Choking hazard warning on front panel,Warning label present on inner packaging only — not visible at point of sale,Wrong Placement,High,Joel,2026-02-05,Escalated,Escalated — safety warning must be visible at POS per CPSC requirement
DEV038,PROD198,Nerf Elite 2.0 Blaster,Toys,USA,CPSC,SOP019,ASTM F963 compliance statement required,Meets ASTM F963 toy safety standard,ASTM statement in US version — missing from India import SKU,Market-Specific Label Missing,Medium,April,2026-02-06,Resolved,Importer added ASTM statement to India SKU packaging — approved
DEV039,PROD200,Rubik's Cube 3x3 Original,Toys,Hungary,CE-Mark,SOP020,EN 71 safety standard reference must be on label,EN 71 reference printed on base of packaging,EN 71 reference present on EU packaging but absent from India import batch,Market-Specific Label Missing,Medium,Autumn,2026-02-07,Resolved,Distributor updated India batch packaging to include EN 71 reference
DEV040,PROD089,Hawkins Contura Cooker,Home & Kitchen,India,BIS,SOP021,ISI mark must be embossed or printed on product,ISI mark embossed on lid and body,ISI mark present on packaging only — not on product unit itself,Wrong Placement,High,Atlas,2026-02-08,Escalated,"Escalated — ISI must be on product per BIS mandate, not just packaging"
DEV041,PROD095,Milton Lunch Box 4 Containers,Home & Kitchen,India,BIS,SOP022,Wattage and voltage rating must be visible,"Not applicable — non-electric product, field marked N/A",Voltage rating field left blank — should be marked N/A for non-electrical items,Incomplete Documentation,Low,Anu,2026-02-09,Resolved,Seller updated product form to mark N/A for electrical fields
DEV042,PROD099,Butterfly Smart Glass Kettle,Home & Kitchen,India,BIS,SOP022,Wattage and voltage rating must be visible,"1500W, 220-240V printed on base plate",Wattage printed but voltage range missing — only shows 220V not 220-240V,Incomplete Information,Medium,Joel,2026-02-10,Resolved,Seller corrected base plate marking to show full voltage range 220-240V
DEV043,PROD104,Crompton Greaves Water Heater,Home & Kitchen,India,BIS,SOP021,ISI mark must be embossed or printed on product,ISI mark on body with valid BIS certification number,ISI mark present but certification number beside it is expired — old BIS number,Expired Certification,High,April,2026-02-11,Rejected,"Rejected — expired BIS number found, seller must renew and resubmit"
DEV044,PROD206,Tefal Induction Cookware Set,Home & Kitchen,France,CE-Mark,SOP023,Declaration of Conformity document must be included,DoC document in English included in box,No Declaration of Conformity document found in shipment,Missing Document,High,Autumn,2026-02-12,Rejected,Rejected — DoC is mandatory for CE-Mark products entering Indian market
DEV045,PROD209,OXO Good Grips Kitchen Tools,Home & Kitchen,USA,FDA,SOP024,Food-safe material certification must be attached,FDA food-contact material certificate attached,Food-safe certificate referenced in docs but physical copy not attached,Missing Document,Medium,Atlas,2026-02-13,Resolved,"Seller emailed physical certificate — attached to product file, approved"
DEV046,PROD213,Dyson V11 Vacuum Cleaner,Home & Kitchen,UK,CE-Mark,SOP023,Declaration of Conformity document must be included,"DoC document in English, current version",DoC document present but dated 2021 — product model updated in 2023,Outdated Document,High,Anu,2026-02-14,Escalated,"Escalated — DoC must match current product version, Dyson India contacted"
DEV047,PROD214,Philips Daily Collection Kettle,Home & Kitchen,Netherlands,CE-Mark,SOP022,Wattage and voltage rating must be visible,"2400W, 220-240V on base plate",Wattage label on base plate damaged and unreadable on received batch,Print Quality Issue,Medium,Joel,2026-02-15,Rejected,"Rejected — damaged wattage label fails BIS visibility requirement, new batch requested"
DEV048,PROD215,iRobot Roomba Vacuum Robot,Home & Kitchen,USA,FCC,SOP004,FCC ID must be visible on product,FCC ID printed on underside of device,FCC ID label present but covered by foam padding inside packaging on all units,Label Obstruction,Low,April,2026-02-16,Resolved,Importer removed foam layer covering FCC label — re-inspection cleared
DEV049,PROD101,Inalsa Mixer Grinder Astra,Home & Kitchen,India,BIS,SOP021,ISI mark must be embossed or printed on product,ISI mark on motor body,ISI mark on body but no certification number alongside it,Incomplete Information,Medium,Autumn,2026-02-17,Pending Review,Seller asked to confirm BIS certification number for the ISI mark on file
DEV050,PROD033,Everest Turmeric Powder 200g,Food & Beverages,India,FSSAI,SOP008,Nutritional information table must be present,Full nutritional table per 100g serving,Nutritional table present but values given per 5g serving only — FSSAI requires per 100g,Wrong Serving Size Reference,Medium,Atlas,2026-02-17,Pending Review,Seller informed to reprint nutritional table with per 100g values as required
